customer_state,seller_state,product_weight_g,product_length_cm,product_height_cm,product_width_cm,days_until_delivery
SP,SP,15475,81,7,83,15
BA,SP,2600,40,45,39,21
ES,SP,10475,52,51,17,22
SP,SP,7463,56,64,35,8
SP,SP,9200,52,52,17,20
RJ,SP,9725,53,52,17,24
RJ,SP,8750,52,51,17,19
RJ,SP,8450,53,50,16,20
RJ,SP,17050,63,62,24,12
RS,SP,15817,54,48,30,18
MG,SP,3875,35,52,34,17
SP,SP,550,40,7,50,6
SP,SP,800,45,10,34,6
PA,SP,12650,54,54,18,44
SP,SP,10475,52,51,17,10
SP,SP,16133,63,59,25,17
BA,SP,11875,57,55,22,21
SP,SP,1383,50,10,40,7
SP,SP,800,45,15,35,12
SP,SP,6050,40,32,40,13
MG,SP,10975,53,51,18,19
SP,SP,16133,63,59,25,21
RJ,SP,7463,56,64,35,37
SP,SP,1825,44,14,34,9
RJ,SP,3400,45,15,35,17
RS,SP,12275,40,54,38,19
PE,SP,9725,53,52,17,23
SP,SP,23700,66,42,66,6
RS,SP,8638,51,62,26,25
SP,SP,1750,45,15,35,20
SP,SP,13350,57,56,22,21
PE,SP,7463,56,64,35,26
PB,SP,9725,53,52,17,33
RJ,SP,1975,41,13,31,13
PA,SP,11875,57,55,22,36
SC,SP,12650,54,54,18,21
SP,SP,17050,63,62,24,17
RJ,SP,17150,58,61,24,26
BA,SP,12275,40,54,38,23
MG,SP,1500,60,10,40,28
SC,SP,15475,81,7,83,34
CE,SP,7417,102,46,11,18
CE,SP,900,24,5,20,55
SP,SP,9675,42,47,33,19
SP,SP,6350,45,15,35,11
PR,SP,3550,45,15,35,21
SP,SP,16133,63,59,25,8
SP,SP,16133,63,59,25,65
GO,SP,7463,56,64,35,27
SP,SP,11875,57,55,22,28
SP,SP,8683,54,64,31,11
RJ,SP,16150,63,62,24,33
SP,SP,1700,45,15,35,4
SP,SP,9200,53,52,17,20
CE,SP,8217,52,52,17,26
SP,SP,700,45,15,35,7
RJ,SP,11875,57,55,22,49
SP,SP,14033,101,8,57,22
SP,SP,1800,45,15,35,6
SP,SP,1700,45,15,35,10
RS,SP,1383,50,10,40,18
SP,SP,3300,45,15,35,12
SP,SP,1383,50,10,40,5
SP,SP,1825,44,14,34,6
RJ,SP,11700,36,54,35,19
MG,SP,7125,52,52,17,28
SP,SP,1950,43,10,33,9
RJ,SP,7463,56,64,35,36
SP,SP,1383,50,10,40,12
SP,SP,13350,57,56,22,19
RJ,SP,2600,40,45,39,20
SP,SP,1825,53,10,40,8
MG,SP,7463,56,64,35,19
SP,SP,900,24,5,20,8
MG,SP,5200,45,15,35,16
SP,SP,13350,57,56,22,20
SP,SP,12650,54,54,18,16
CE,SP,800,45,15,35,18
RJ,SP,16125,81,7,83,6
SP,SP,950,45,15,30,7
PR,SP,16167,64,62,25,24
PR,SP,6325,37,41,37,26
PA,SP,1825,44,14,34,18
SP,SP,8000,53,74,18,12
RJ,SP,13867,101,8,57,21
SP,SP,12160,56,51,28,10
SP,SP,8975,35,52,36,5
BA,SP,13388,54,47,28,43
SP,SP,7463,56,64,35,17
SP,SP,20100,45,15,35,5
MG,SP,10125,57,55,22,21
MG,SP,900,45,15,35,11
SP,SP,7450,52,52,17,19
GO,SP,16133,63,59,25,25
SP,SP,2600,40,45,39,29
SP,SP,16650,63,58,24,16
SP,SP,12275,40,54,38,12
RO,SP,15200,78,45,21,50
SP,SP,1825,44,14,34,7
RS,SP,23375,66,43,66,12
AP,SP,2050,45,15,35,19
SP,SP,1383,50,10,40,7
RJ,SP,16167,64,62,25,19
RS,SP,10725,57,55,22,14
MG,SP,1900,45,15,35,21
SP,SP,3775,35,13,25,7
BA,SP,16133,63,59,25,26
SP,SP,250,20,6,11,7
SP,SP,9725,53,52,17,20
ES,SP,900,28,5,20,25
SP,SP,17000,63,58,24,9
MG,SP,11100,37,41,37,9
PR,SP,10750,54,54,18,21
RJ,SP,11880,50,60,27,26
PR,SP,8217,52,52,17,22
SP,SP,1550,44,14,34,7
SP,SP,12550,57,54,21,20
RJ,SP,8633,42,64,43,13
RJ,SP,1383,50,10,40,9
SP,SP,1383,50,10,40,8
RJ,SP,13350,57,56,22,42
SP,SP,1600,45,15,35,14
RJ,SP,2150,40,10,30,40
BA,SP,5050,45,15,35,13
SP,SP,16617,101,8,57,21
SC,SP,700,45,15,35,46
RJ,SP,1383,50,10,40,12
PR,SP,1600,45,15,35,9
PR,SP,3775,35,13,25,12
SP,SP,675,40,18,35,12
SP,SP,1500,26,6,20,8
SP,SP,16125,81,7,83,15
ES,SP,8683,54,64,31,19
SP,SP,1825,44,14,34,15
SP,SP,8900,53,50,16,7
PE,SP,9200,53,52,17,30
SP,SP,2600,40,45,39,10
MG,SP,1975,41,13,31,8
SP,SP,10075,55,64,26,12
SP,SP,8925,53,74,18,22
SP,SP,10025,57,55,22,17
MG,SP,17050,63,62,24,11
PB,SP,17050,63,62,24,44
SC,SP,8683,54,64,31,18
RS,SP,1383,50,10,40,13
SP,SP,20100,45,15,35,6
RN,SP,9200,52,50,16,70
RS,SP,11880,50,60,27,28
MS,SP,8683,54,64,31,16
RJ,SP,9725,53,52,17,28
RJ,SP,450,45,15,35,22
MG,SP,8633,42,64,43,21
SC,SP,300,45,15,35,26
PR,SP,26600,45,15,35,8
RJ,SP,12775,37,65,36,29
MG,SP,11875,57,55,22,25
SP,SC,10150,89,15,40,12
MG,SP,10075,55,64,26,19
SP,SP,10475,52,51,17,28
RJ,SP,200,45,15,35,41
SP,SP,16167,64,62,25,25
SP,SP,16167,64,62,25,26
MG,SP,1383,50,10,40,24
SP,SP,16133,63,59,25,70
PB,SP,1383,50,10,40,15
SP,SP,12160,56,51,28,16
MG,SP,600,45,15,35,16
SP,SP,19400,48,45,56,9
SP,SP,1900,45,15,35,9
SP,SP,8550,40,32,40,15
RJ,SP,350,45,15,35,30
RJ,SP,8217,52,52,17,28
SP,SP,900,24,5,20,9
SP,SP,900,24,5,20,12
SP,SP,900,45,15,35,14
SP,SP,17050,63,62,24,25
SP,SP,7200,52,52,17,20
RJ,SP,8200,53,74,18,29
SP,SP,550,40,7,50,11
MG,SP,1383,50,10,40,10
MG,SP,9200,53,52,17,20
RJ,SP,16800,63,58,24,30
RS,SP,675,40,18,35,19
RJ,SP,2050,45,15,35,32
BA,SP,8750,52,51,17,33
SP,SP,11880,50,60,27,34
